['_sv2v_0', ['x', '1']]  csr_regfile
['rst_ni', ['0', '1']]  csr_regfile
['time_irq_i', ['x', '1']]  csr_regfile
['flush_o', ['x', '1']]  csr_regfile
['halt_csr_o', ['0', '1']]  csr_regfile
['commit_instr_i', ['x', '722']]  csr_regfile
['commit_ack_i', ['x', '2']]  csr_regfile
['boot_addr_i', ['x', '64']]  csr_regfile
['hart_id_i', ['x', '64']]  csr_regfile
['ex_i', ['x', '129']]  csr_regfile
['csr_op_i', ['x', '7']]  csr_regfile
['csr_addr_i', ['x', '12']]  csr_regfile
['csr_wdata_i', ['x', '64']]  csr_regfile
['csr_rdata_o', ['x', '64']]  csr_regfile
['dirty_fp_state_i', ['x', '1']]  csr_regfile
['csr_write_fflags_i', ['x', '1']]  csr_regfile
['pc_i', ['x', '64']]  csr_regfile
['csr_exception_o', ['x', '129']]  csr_regfile
['epc_o', ['0', '64']]  csr_regfile
['eret_o', ['x', '1']]  csr_regfile
['trap_vector_base_o', ['0', '64']]  csr_regfile
['priv_lvl_o', [3, '2']]  csr_regfile
['fs_o', ['0', '2']]  csr_regfile
['fflags_o', ['0', '5']]  csr_regfile
['frm_o', ['0', '3']]  csr_regfile
['fprec_o', ['0', '7']]  csr_regfile
['irq_ctrl_o', ['0', '194']]  csr_regfile
['en_translation_o', ['0', '1']]  csr_regfile
['en_ld_st_translation_o', ['0', '1']]  csr_regfile
['ld_st_priv_lvl_o', [3, '2']]  csr_regfile
['sum_o', ['0', '1']]  csr_regfile
['mxr_o', ['0', '1']]  csr_regfile
['satp_ppn_o', ['0', '44']]  csr_regfile
['asid_o', ['0', '1']]  csr_regfile
['irq_i', ['x', '2']]  csr_regfile
['ipi_i', ['x', '1']]  csr_regfile
['debug_req_i', ['x', '1']]  csr_regfile
['set_debug_pc_o', ['x', '1']]  csr_regfile
['tvm_o', ['0', '1']]  csr_regfile
['tw_o', ['0', '1']]  csr_regfile
['tsr_o', ['0', '1']]  csr_regfile
['debug_mode_o', ['0', '1']]  csr_regfile
['single_step_o', ['0', '1']]  csr_regfile
['icache_en_o', ['1', '1']]  csr_regfile
['dcache_en_o', ['1', '1']]  csr_regfile
['perf_addr_o', ['x', '5']]  csr_regfile
